Canonical Name (Latin),Canonical Name (Greek),Variants (Latin),Variants (Greek)
Achilleas,Αχιλλέας,"Achillios, Achilleus","Αχίλλιος, Αχιλλεύς"
Adrianos,Ανδριανός,Adrianos,Αδριανός
Agape,Αγάπη,Agapoula,Αγαπούλα
Agapios,Αγάπιος,,
Agapitos,Αγαπητός,Agapis,Αγάπης
Agathangelos,Αγαθάγγελος,,
Agathe,Αγάθη,"Agathoula, Agatha","Αγαθούλα, Αγάθια"
Agathodoros,Αγαθόδωρος,Doros,Δώρος
Agathon,Αγάθων,,
Agathonikos,Αγαθόνικος,,
Aggelos,Άγγελος,"Aggelakos, Aggelis","Αγγελάκος, Αγγελής"
Aglaia,Αγλαΐα,"Agli, Aglaitsa","Αίγλη, Αγλαΐτσα"
Agne,Αγνή,Agnoula,Αγνούλα
Katerina,Κατερίνα,"Aikaterini, Katia, Katina, Keti, Rina","Αικατερίνη, Κάτια, Κατίνα, Κατινιώ, Καίτη, Ρίνα"
Aimilios,Αιμίλιος,Emilios,
Akakios,Ακάκιος,Kakos,Κάκης
Akindynos,Ακίνδυνος,,
Akylas,Ακύλας,,
Akyline,Ακυλίνα,Lina,Λίνα
Alcebiades,Αλκιβιάδης,Alkis,Άλκης
Alexandra,Αλεξάνδρα,"Alexa, Sandra, Aleka","Αλέκα, Σάντρα"
Alexandros,Αλέξανδρος,"Alekos, Alex","Αλέκος, Άλεξ"
Alexios,Αλέξιος,"Alexis, Alex","Αλέξης, Άλεξ"
Alexia,Αλεξία,Alexioula,Αλεξιούλα
Alphaios,Αλφαίος,,
Ambrosios,Αμβρόσιος,Amvrosis,Αμβρόσης
Ananios,Ανανίας,,
Anargyros,Ανάργυρος,Argyris,Αργύρης
Anastasia,Αναστασία,"Tasoula, Tasia, Stasa, Sissy, Natasa","Τασούλα, Τασία, Στάσα, Σίσσυ, Νατάσα"
Tasos,Τάσος,"Anastasios, Anastasis, Anestis","Αναστάσιος, Αναστάσης, Ανέστης"
Anatolios,Ανατόλιος,Anatolis,Ανατόλης
Andreas,Ανδρέας,"Andrikos, Androulis",Αντρίκος
Andronikos,Ανδρόνικος,Andronis,Ανδρόνης
